city_name,mean_gains_autocorr,mean_wins_autocorr,n_block_groups
"Albuquerque, NM",-0.19646399856199281,-0.1445903664230162,756
"Atlanta-Sandy Springs-Roswell, GA",-0.28219539437884145,-0.37861448747805926,5376
"Austin, MN",-0.057156205030056216,-0.10332797483688058,34
"Austin-Round Rock-San Marcos, TX",-0.2979423029802578,-0.3758040468637872,1858
"Bakersfield-Delano, CA",-0.267444617183975,-0.33613119953437537,829
"Baltimore-Columbia-Towson, MD",-0.15716222856373033,-0.1456455347609566,2198
"Boston-Cambridge-Newton, MA-NH",-0.1742056330268709,-0.187739663315945,4125
"Charlotte-Concord-Gastonia, NC-SC",-0.22432601740899724,-0.23896901532384066,1958
"Charlottesville, VA",-0.2975870967112767,-0.259728563508994,200
"Chicago-Naperville-Elgin, IL-IN",-0.14421430420290027,-0.1432345020339923,7154
"Colorado Springs, CO",-0.2596748375087252,-0.23553884418325027,594
"Columbus, GA-AL",-0.16713274050872656,-0.17167096662670717,269
"Columbus, IN",-0.08349110347393572,-0.0729316049270989,66
"Columbus, MS",-0.15326067446132025,-0.20843419090749318,79
"Columbus, NE",-0.2815264952492033,-0.23858898453438102,43
"Columbus, OH",-0.1794912909180118,-0.21382170451108617,1807
"Dallas-Fort Worth-Arlington, TX",-0.24837531763335882,-0.25581529189978447,6028
"Denver-Aurora-Centennial, CO",-0.19081385952759283,-0.18645116789628555,2305
"Detroit Lakes, MN",-0.053854858789834634,-0.12129715169927623,31
"Detroit-Warren-Dearborn, MI",-0.16477386316654374,-0.18417523248789688,4321
"El Paso, TX",-0.21754084994407963,-0.2364902229707931,693
"Fresno, CA",-0.21379541486229048,-0.20482255968888843,909
"Houston-Pasadena-The Woodlands, TX",-0.2820867033396411,-0.33055595671964544,5532
"Indianapolis-Carmel-Greenwood, IN",-0.21855234392692147,-0.2258969577806659,1692
"Jacksonville, FL",-0.2496354885903477,-0.24647164116531378,1139
"Jacksonville, IL",-0.0733820378833331,-0.11534179836368078,41
"Jacksonville, NC",-0.29550975329897133,-0.3008491714496997,148
"Jacksonville, TX",-0.23031958345920509,-0.23398370621578277,45
"Kansas City, MO-KS",-0.1926019831229261,-0.2217752290614633,2141
"Las Vegas, NM",-0.34036519168604285,-0.254111567402678,49
"Las Vegas-Henderson-North Las Vegas, NV",-0.13009924115342378,-0.14017375347635178,1424
"Los Angeles-Long Beach-Anaheim, CA",-0.17574777829326552,-0.17484840721626252,9820
"Louisville/Jefferson County, KY-IN",-0.22851109345405526,-0.21794862668044157,1218
"Memphis, TN-MS-AR",-0.18884610048905662,-0.20461463430563342,1104
"Miami, OK",-0.09349722031991194,-0.20776521984018176,30
"Miami-Fort Lauderdale-West Palm Beach, FL",-0.215483016273995,-0.23822278576666964,4914
"Milwaukee-Waukesha, WI",-0.160774122609771,-0.14797162158098437,1439
"Minneapolis-St. Paul-Bloomington, MN-WI",-0.2198760747452791,-0.22791554173168221,3305
"Nashville-Davidson--Murfreesboro--Franklin, TN",-0.2143913362954206,-0.21285396578786822,1343
"New York-Newark-Jersey City, NY-NJ",-0.1646452652768377,-0.1711954653633587,16191
"Oklahoma City, OK",-0.22415311014378966,-0.21970555962472693,1471
"Omaha, NE-IA",-0.1373172067356996,-0.14179004076949758,885
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",-0.17697941642077986,-0.16739509270097006,4971
"Phoenix-Mesa-Chandler, AZ",-0.16791766966598762,-0.16888570695454852,3364
"Portland-South Portland, ME",-0.21552200040614522,-0.20875332333581492,557
"Portland-Vancouver-Hillsboro, OR-WA",-0.18428730539643037,-0.20568048094424277,1924
"Raleigh-Cary, NC",-0.2726654607550699,-0.2926931815141533,990
"Sacramento-Roseville-Folsom, CA",-0.18508600829433294,-0.19393438117893957,1788
"San Antonio-New Braunfels, TX",-0.18753007228963117,-0.17161387151055418,1626
"San Diego-Chula Vista-Carlsbad, CA",-0.21222412050993378,-0.2062853301854887,2379
"San Francisco-Oakland-Fremont, CA",-0.16972660615184934,-0.18180911559841129,3610
"San Jose-Sunnyvale-Santa Clara, CA",-0.1790218707392143,-0.173141814729412,1363
"Seattle-Tacoma-Bellevue, WA",-0.1999069259864926,-0.22356013799641383,3404
"Tampa-St. Petersburg-Clearwater, FL",-0.17651192536397933,-0.1730311944786048,2423
"Tucson, AZ",-0.17294612712853505,-0.21246249628901828,847
"Tulsa, OK",-0.23383080797138145,-0.21138540124740102,873
"Virginia Beach-Chesapeake-Norfolk, VA-NC",-0.1929671965682367,-0.20000580432416218,1447
"Washington, IN",-0.20353595776260977,-0.22357008143722054,35
"Washington, NC",-0.28955501404476536,-0.3131046057745967,50
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-0.17639178928970925,-0.18618189486662282,4374
"Washington Court House, OH",-0.19112155927371274,-0.15505968375461288,26
"Wichita, KS",-0.21912992427661776,-0.19291572359915085,595
"Wichita Falls, TX",-0.15327092849344953,-0.12343443756084908,162
